SA2_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
122031432,36,0,0,0,36,10,0,44,229,32,6,0,264,5,0,5,275,16,0,290,198,76,10,0,284,5,0,5,285,18,0,306,30,15,3,0,50,0,0,0,53,11,0,58,5,0,0,0,5,0,0,0,5,0,0,0,467,126,15,0,605,10,0,10,617,40,0,657,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,6,471,125,15,0,616,10,0,10,624,40,0,665,102,23,3,3,130,0,0,0,131,22,0,152,0,0,0,0,0,0,0,0,0,0,0,0,567,152,23,4,744,10,0,10,755,67,0,822
122031692,63,0,0,0,67,12,0,80,607,95,17,5,719,16,3,17,743,28,0,773,624,76,19,8,721,10,0,10,728,18,0,752,105,10,25,3,144,3,0,3,151,7,0,151,0,0,0,4,5,0,0,0,5,3,0,10,1334,185,58,13,1595,23,3,32,1623,60,0,1682,3,0,0,0,3,3,0,3,5,0,0,5,15,0,0,0,15,0,0,0,15,0,0,15,22,0,0,0,22,3,0,3,22,0,0,22,1354,185,58,13,1616,26,3,36,1648,60,0,1707,209,23,12,0,242,0,0,0,242,24,0,270,0,0,0,0,0,0,0,0,0,0,0,0,1559,209,74,19,1861,26,3,36,1892,80,0,1978
122031693,88,6,0,6,87,16,0,103,707,118,33,6,867,21,0,21,887,59,0,947,856,155,20,5,1037,3,6,3,1041,39,0,1083,190,31,37,0,258,0,0,0,261,3,0,261,6,0,0,14,22,0,0,0,22,3,0,33,1761,307,93,23,2180,24,4,32,2212,111,3,2323,7,0,0,0,7,0,0,0,10,0,0,10,13,0,0,0,16,0,0,0,16,0,0,16,21,0,0,0,25,0,0,0,23,0,0,23,1783,308,93,23,2206,25,4,30,2231,111,3,2350,385,48,9,4,448,4,0,4,451,33,0,486,3,0,0,0,9,0,0,0,9,0,0,9,2174,358,102,24,2657,27,4,30,2693,145,3,2844
122031694,70,0,0,0,73,4,0,79,493,68,7,0,563,12,5,11,573,19,0,587,572,126,9,4,718,5,0,6,724,21,0,741,136,8,12,0,164,0,0,0,164,4,0,163,11,0,0,4,18,0,0,0,18,0,0,18,1210,200,31,10,1457,15,0,17,1470,37,0,1507,4,0,0,0,10,0,0,0,10,0,0,10,11,0,0,0,12,0,0,0,12,0,0,12,14,3,0,0,17,0,0,0,17,0,0,20,1226,205,31,10,1473,15,0,17,1491,40,0,1529,322,33,6,6,367,13,0,13,379,35,0,409,0,0,0,0,7,0,0,0,7,0,0,8,1555,238,39,17,1848,25,0,31,1876,71,0,1952
122031695,44,0,0,0,44,10,0,55,602,111,29,5,749,19,0,19,768,49,0,817,600,114,37,9,761,5,0,5,765,33,0,795,203,30,27,0,264,3,0,7,272,6,0,277,0,0,3,5,20,0,0,0,20,0,0,19,1409,264,92,24,1786,31,0,33,1820,86,3,1910,18,3,0,0,25,0,0,0,25,7,0,28,29,7,0,0,35,0,0,0,35,0,0,35,45,6,0,0,57,0,0,0,58,7,0,59,1456,271,92,24,1840,31,0,36,1879,98,3,1970,293,80,30,6,406,14,7,20,425,65,0,495,9,0,0,0,12,0,0,0,12,0,10,20,1755,356,116,30,2260,48,5,49,2309,162,12,2482
122031696,153,0,0,4,155,17,0,173,1357,188,45,3,1602,27,10,33,1637,73,3,1706,1467,197,39,5,1707,19,0,20,1725,47,0,1774,200,41,39,0,280,7,0,10,296,19,5,318,12,0,0,13,16,0,0,0,16,0,0,20,3038,428,127,19,3607,52,13,61,3673,138,3,3814,32,4,0,0,39,3,0,3,42,0,0,42,37,10,0,0,43,0,0,0,43,0,0,43,72,6,0,0,78,3,0,3,82,0,0,87,3108,438,127,19,3693,53,13,67,3753,137,3,3897,473,39,16,3,537,5,0,5,538,75,0,608,8,0,0,0,8,0,0,0,8,0,7,10,3586,479,148,21,4234,59,13,70,4301,211,12,4521
122031697,58,0,0,0,58,5,0,62,460,60,39,0,557,3,0,3,561,40,0,597,544,109,10,0,659,3,0,3,663,18,0,681,103,27,19,0,149,0,0,0,149,6,0,151,3,0,0,0,9,0,0,0,9,0,0,9,1108,199,65,0,1376,10,0,10,1381,61,0,1444,4,0,0,0,7,0,0,0,7,0,0,7,10,0,0,0,14,0,0,0,14,0,0,14,13,6,0,0,15,0,0,0,15,0,0,15,1116,203,65,4,1392,10,0,10,1401,63,0,1460,175,57,18,3,254,4,0,4,260,28,0,285,0,3,0,3,10,0,0,0,10,0,5,11,1297,263,84,13,1653,10,0,10,1664,90,5,1760
123011433,48,3,0,3,48,0,0,53,705,78,42,4,833,8,0,8,835,27,0,868,793,164,36,5,1001,5,0,5,1005,26,0,1035,172,39,48,4,260,0,0,0,260,22,0,282,9,3,0,11,22,0,0,0,22,0,0,25,1677,292,132,18,2115,12,0,12,2130,80,3,2211,0,0,0,0,0,0,0,0,8,0,0,8,12,0,3,0,17,0,0,0,14,0,0,14,12,8,3,0,15,4,0,6,23,0,0,23,1682,296,138,18,2135,20,0,19,2150,80,3,2234,230,76,17,0,323,5,0,5,329,71,0,400,6,0,0,0,6,0,0,0,6,0,11,15,1922,368,156,18,2458,19,0,24,2484,146,15,2645
123011698,22,0,0,0,22,0,0,21,370,25,26,5,427,8,0,8,433,13,0,447,308,77,30,7,422,5,0,5,426,19,0,446,102,23,34,0,165,0,3,3,171,7,0,172,4,0,4,8,16,0,0,0,16,0,0,19,786,127,99,18,1027,11,3,19,1044,41,3,1088,5,0,0,0,8,0,0,0,8,0,0,8,24,3,0,0,22,0,0,0,22,0,0,22,26,3,0,0,29,0,0,0,29,0,0,29,813,129,99,17,1057,11,3,19,1073,41,3,1117,186,54,45,5,283,4,0,4,293,63,0,357,0,0,0,7,7,0,0,0,7,0,8,15,999,187,145,29,1351,18,3,22,1374,105,12,1491
123011699,63,0,0,6,65,0,0,67,782,107,53,0,943,17,0,17,959,47,0,1008,852,178,36,8,1074,7,0,7,1082,34,0,1119,245,43,61,3,348,0,0,0,354,10,0,356,8,0,5,19,29,0,0,0,29,0,16,41,1889,329,149,29,2399,24,0,26,2422,89,16,2526,16,0,0,0,13,0,0,0,16,0,0,16,23,3,5,0,29,0,0,0,29,0,0,29,33,3,5,0,46,0,0,0,50,0,0,50,1924,333,151,29,2438,27,0,32,2471,89,16,2576,361,82,37,17,491,4,0,4,496,95,3,597,0,0,3,8,10,0,0,0,10,0,13,24,2285,415,186,59,2942,32,0,35,2983,180,30,3192
