SA2_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
306031158,0,0,0,25,0,0,0,0,0,0,0,0,0,0,38,42,5,0,0,4,0,3,0,0,0,5,10,19,111,32,10,94,9,60,9,45,14,182,49,606
306031159,0,3,0,24,0,0,0,0,0,0,0,0,0,4,40,47,0,0,0,0,0,0,0,0,4,7,5,22,156,42,8,128,15,67,10,93,12,364,62,951
306031160,0,3,0,35,0,3,0,0,0,3,0,0,0,4,50,61,3,0,3,0,0,0,0,0,0,9,16,35,170,54,16,140,18,116,17,86,14,333,70,1039
306031161,4,10,0,58,0,0,3,0,0,0,0,0,0,4,76,98,3,0,0,0,0,4,0,0,0,14,12,36,253,70,17,193,21,118,11,116,21,602,103,1520
306031162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306031163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,5,0,10,0,11,3,29,0,71
306041164,0,6,0,36,0,0,0,0,0,0,0,0,0,0,38,47,0,0,0,0,0,0,0,3,3,4,7,17,122,75,8,118,13,63,8,73,20,262,46,808
306041165,0,8,0,44,0,0,0,4,0,0,0,0,0,0,35,38,0,0,0,0,0,0,0,0,0,3,3,14,162,91,5,119,21,48,19,76,13,198,40,777
306051166,0,6,4,58,3,0,0,0,0,0,0,4,3,9,79,99,0,4,0,3,0,0,0,0,0,22,15,50,229,64,10,193,22,99,8,105,27,584,106,1451
306051167,0,0,0,13,0,0,0,0,0,9,0,0,0,3,44,59,3,0,0,0,0,0,0,0,0,3,13,34,80,25,10,69,6,49,8,64,23,298,64,696
306051168,0,4,0,32,0,0,0,0,0,0,0,0,0,4,43,44,6,0,0,0,0,0,0,0,0,4,8,14,83,45,7,66,19,66,7,54,9,199,52,619
306051169,0,7,0,66,0,0,0,0,0,3,0,0,3,0,68,84,0,0,3,0,0,0,0,0,0,16,7,34,190,91,20,165,21,101,18,106,37,506,88,1338
306051170,6,12,0,53,0,0,0,0,0,0,0,0,0,10,82,94,3,0,0,0,0,5,0,0,0,18,12,34,241,55,16,162,25,111,12,84,25,525,103,1359
307011171,0,0,0,34,0,0,0,0,0,0,0,0,0,0,23,33,5,0,5,0,0,0,0,0,0,3,3,14,131,20,7,79,3,35,3,30,12,103,37,463
307011172,0,0,0,67,0,0,0,0,0,4,0,0,0,0,55,56,0,0,0,0,0,0,0,0,0,9,14,23,206,33,8,129,21,87,7,45,14,222,70,841
307011173,0,3,0,35,3,0,0,0,0,0,0,0,0,7,37,46,0,0,0,0,0,0,0,0,0,9,4,22,173,32,3,81,11,58,6,47,10,170,48,643
307011174,0,0,0,21,0,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0,0,0,0,0,0,4,4,12,110,17,8,80,5,50,0,27,3,159,37,502
