SA2_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
101021007,0,0,0,80,13,0,4,3,0,0,0,3,0,3,6,34,0,0,0,0,0,0,0,0,0,0,0,3,120,23,9,100,17,53,7,18,9,28,6,384
101021008,0,5,0,254,18,3,0,9,3,9,0,4,0,3,30,76,0,0,0,0,0,0,0,0,0,0,6,3,346,42,11,244,64,129,11,55,11,78,35,1025
101021009,0,9,0,222,8,4,0,9,4,8,0,0,0,0,18,53,0,0,0,0,0,0,0,0,0,0,0,0,309,64,9,279,62,161,14,46,13,63,27,1048
101021010,0,8,0,128,11,0,0,5,0,0,0,0,0,0,17,33,0,0,0,0,0,0,0,0,0,0,0,4,168,17,6,133,23,93,9,13,4,35,14,507
101021012,7,5,3,961,34,4,0,11,5,5,0,0,0,4,51,123,5,0,0,0,0,0,0,0,0,0,7,15,816,44,14,555,122,231,30,51,9,45,64,1978
101021610,0,0,0,421,16,0,0,10,0,3,0,0,0,0,27,55,0,0,0,0,3,0,0,0,0,0,3,4,461,24,18,317,104,121,10,17,0,9,27,1111
101021611,3,15,0,1021,55,6,0,17,13,18,3,4,0,10,64,188,0,5,5,0,0,0,0,0,0,0,3,12,897,74,26,628,132,238,33,74,10,96,72,2287
101031013,0,0,0,22,0,0,0,6,0,6,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,54,4,3,89,9,28,0,3,0,12,3,201
101031014,0,0,0,88,8,0,0,7,0,0,0,0,0,3,19,46,0,0,0,0,0,0,0,0,0,5,3,8,153,38,5,169,27,106,3,37,3,40,26,616
101031015,0,0,0,65,17,0,0,0,0,0,0,0,0,3,16,40,0,0,0,0,0,0,0,0,0,0,0,0,128,19,0,94,13,48,12,8,3,17,17,354
101031016,0,0,0,167,20,0,0,10,0,0,4,0,0,3,33,78,0,0,0,0,0,0,0,0,0,0,0,4,264,55,6,264,21,57,13,26,6,30,38,782
101041017,0,0,0,50,4,0,0,11,0,0,0,4,0,10,25,52,0,0,0,0,0,0,0,0,0,0,0,6,124,43,7,179,27,77,11,43,11,82,30,634
101041018,0,6,0,61,7,3,3,11,0,4,0,3,0,3,31,70,0,0,0,0,0,0,0,0,0,0,0,5,137,47,13,167,29,67,17,48,13,89,28,657
101041019,0,0,0,71,9,0,4,9,0,4,0,3,4,4,30,69,0,0,0,0,0,0,0,0,0,0,5,4,179,56,15,270,33,84,14,50,18,56,34,816
101041020,0,0,0,79,11,10,0,20,0,4,0,5,5,14,40,102,3,0,0,0,0,0,0,0,0,0,9,10,184,84,16,264,34,78,26,71,16,95,46,915
101041021,0,0,0,64,4,0,0,5,0,0,0,0,0,8,14,34,0,0,0,0,0,0,0,0,0,0,4,3,74,23,0,128,12,31,10,19,9,28,15,346
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,16,0,0,0,7,0,7,0,4,0,0,14,33,0,0,0,0,0,0,0,0,0,0,5,4,43,14,11,69,11,27,8,18,6,28,16,247
101041024,0,0,0,27,5,3,0,0,5,0,0,3,0,3,16,33,0,0,0,0,0,0,0,0,0,0,0,4,53,19,4,85,11,25,10,24,8,40,12,281
101041025,0,3,0,114,16,3,0,13,0,3,0,7,0,3,45,92,0,0,0,0,0,0,0,0,0,0,3,3,244,71,10,306,26,83,14,45,16,84,48,948
101041026,0,0,0,59,7,3,0,10,0,6,0,3,0,3,21,49,0,0,0,0,0,0,0,0,0,3,0,3,144,57,4,184,32,80,13,49,5,57,22,657
101041027,0,0,0,51,8,0,0,8,3,4,0,5,0,11,34,77,0,0,0,0,0,0,0,0,0,0,3,7,127,49,17,199,23,66,24,49,14,74,36,670
101051539,0,3,0,332,24,7,0,28,3,5,0,0,0,13,95,184,3,0,0,3,0,0,0,0,0,0,4,14,631,79,22,718,116,325,51,98,35,166,105,2350
101051540,3,4,0,246,39,4,0,23,0,12,4,7,0,8,56,163,3,0,0,0,0,0,0,0,0,0,4,13,405,77,17,418,67,169,38,70,23,95,66,1445
101061541,0,5,0,150,16,0,0,12,0,3,0,0,0,0,36,74,0,0,0,0,0,0,0,0,0,0,0,8,240,32,7,250,37,93,10,30,12,46,36,790
101061542,6,5,0,657,39,4,0,25,3,17,0,4,0,4,51,158,3,0,0,0,0,0,0,0,0,0,5,8,596,76,15,559,70,179,12,55,23,87,58,1730
101061543,0,0,0,91,22,3,0,12,0,3,3,4,0,7,47,102,0,0,0,5,0,0,0,0,0,3,9,16,243,53,13,319,53,137,24,55,16,100,65,1069
101061544,0,0,0,84,26,4,0,14,6,6,0,0,0,3,29,96,0,0,0,4,0,0,0,0,0,0,8,15,184,27,9,236,36,91,8,21,13,54,30,718
102011028,3,0,0,344,13,0,0,21,4,3,8,3,0,0,32,92,0,0,0,0,0,0,0,0,0,0,0,7,208,69,13,362,61,116,30,51,12,41,40,1005
102011029,5,0,0,352,18,9,0,21,3,3,0,5,0,5,24,89,0,3,3,0,0,0,0,0,0,0,0,11,267,115,26,394,95,196,42,76,27,94,28,1357
102011030,0,5,0,117,14,0,0,11,0,5,0,0,0,14,17,63,0,0,0,0,0,0,0,0,0,0,0,8,126,31,16,118,22,62,20,36,18,55,27,530
102011031,3,5,0,510,20,7,4,13,6,7,3,3,0,13,48,121,6,0,0,0,0,0,0,0,0,0,4,12,354,107,31,500,113,205,39,93,34,131,58,1649
102011032,0,6,0,359,12,7,0,13,6,10,3,4,0,6,63,118,0,0,0,0,0,0,0,0,0,0,5,11,367,126,33,499,134,344,66,126,50,146,65,1954
