SA2_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
124051469,24,22,14,4,35,31,10,20,0,151,8,11,12,8,36,34,15,13,28,173,368,433,310,213,771,727,186,327,69,3409
124051470,56,37,31,14,71,86,23,26,0,357,33,48,42,13,115,122,20,39,93,528,1046,1170,944,582,2251,1991,487,834,174,9477
124051580,32,19,11,7,43,24,6,9,3,157,22,23,19,30,85,63,16,14,58,327,577,610,491,332,1397,976,240,399,117,5137
124051581,42,21,8,8,41,34,16,24,3,189,40,28,38,22,99,74,15,22,94,431,739,759,645,442,1741,1246,269,510,199,6550
125011475,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
125011582,32,32,22,10,26,31,5,3,0,160,85,72,84,43,100,56,14,8,194,651,836,1025,1086,445,1355,944,174,222,306,6385
125011583,12,14,16,4,7,18,4,5,0,76,34,55,80,17,77,50,3,14,128,465,468,629,888,338,884,556,87,148,200,4198
125011584,9,15,10,0,20,8,3,0,0,69,54,11,24,4,29,26,10,6,50,214,447,349,260,154,568,483,99,139,102,2600
125011585,14,19,0,9,8,13,0,3,0,63,33,36,32,20,55,38,5,7,85,308,472,427,330,168,724,622,95,185,123,3143
125011586,73,31,34,16,58,36,9,11,5,267,94,85,79,21,120,102,17,32,192,739,1363,1264,1168,559,2072,1737,305,601,317,9384
125011587,19,15,14,4,13,10,0,3,0,79,15,21,17,12,36,28,0,5,30,162,276,231,208,102,426,340,76,95,53,1806
125011709,20,19,14,16,22,29,4,10,6,137,15,14,19,12,40,41,7,15,43,202,427,473,347,235,826,927,189,373,68,3867
125011710,75,32,24,12,57,51,7,17,4,288,74,61,48,24,153,174,19,39,144,729,1298,1179,919,493,3167,3039,522,970,237,11821
125021477,109,63,36,22,83,91,7,25,8,445,50,57,44,19,112,100,14,30,89,515,1555,1369,1066,608,2446,2494,518,948,188,11188
125021478,53,47,29,9,50,48,6,25,3,279,44,56,42,20,94,92,11,23,81,459,1023,1124,847,419,1715,1738,314,685,135,8008
125021711,34,35,13,10,35,25,0,11,0,154,24,21,24,11,46,60,8,13,51,255,572,783,501,258,1076,1183,242,452,75,5147
125021712,42,46,26,15,39,47,8,10,5,238,45,61,33,17,89,93,13,27,77,442,954,1190,854,452,1921,1971,346,660,141,8486
125031479,66,38,22,18,35,21,10,6,0,215,62,59,37,16,87,56,12,12,110,461,1030,822,652,376,1400,1083,179,342,200,6075
125031480,63,26,21,11,30,21,4,6,5,178,50,36,37,19,99,43,6,13,75,378,738,538,428,260,1047,709,155,233,128,4242
125031481,47,31,36,12,44,23,4,5,0,200,65,77,57,29,118,74,3,27,201,662,1097,1182,1269,523,1973,1428,242,438,329,8480
125031483,56,22,24,10,36,31,11,7,4,195,57,48,43,24,72,65,8,22,142,483,898,742,613,348,1154,1010,197,284,273,5520
125031484,66,35,20,10,60,49,10,19,5,265,79,60,36,24,104,69,17,21,117,510,1124,913,781,434,1731,1355,270,499,239,7343
125031486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
125031487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
125031713,54,33,26,10,45,38,4,19,4,236,49,35,28,20,59,56,10,10,54,333,1018,863,629,381,1384,1306,307,568,136,6590
125031714,55,30,21,8,46,29,9,10,3,220,63,64,41,30,101,62,12,20,130,534,1118,1026,933,470,1904,1475,300,453,285,7962
125031715,44,18,7,4,17,26,5,6,0,137,22,20,8,9,50,46,6,12,37,205,614,517,457,270,1161,1062,239,428,69,4826
125031716,26,11,4,8,16,25,0,3,0,94,21,7,11,4,35,23,0,13,41,152,393,331,269,166,603,542,115,193,89,2711
125041489,48,46,24,14,79,58,17,25,0,313,38,35,44,28,129,118,23,23,73,521,1120,1192,959,564,2991,2856,485,838,170,11177
125041490,30,18,9,3,25,25,0,13,0,127,19,10,11,13,30,26,0,16,25,162,508,536,374,208,777,910,187,428,43,3962
125041491,47,41,25,9,46,36,9,15,4,237,21,52,49,30,112,93,11,24,86,475,946,1102,969,582,2463,2561,491,811,188,10110
125041493,69,57,28,20,61,61,22,14,4,328,39,58,33,18,115,118,10,17,93,501,1203,1231,976,608,2360,2408,430,723,191,10120
125041494,23,21,21,14,27,29,6,18,5,159,16,14,13,7,40,44,8,28,34,213,637,680,478,306,1063,1183,297,537,76,5268
125041588,18,21,13,4,34,29,8,8,3,135,17,32,39,21,102,75,12,9,79,395,472,605,572,295,1795,1521,211,306,143,5919
125041589,32,23,16,3,43,27,3,14,5,164,37,37,68,22,137,128,18,14,119,574,788,947,933,450,2766,2895,348,483,251,9857
125041717,21,9,10,0,26,12,6,9,0,88,22,22,25,11,65,66,6,13,63,288,499,612,587,301,1735,2282,225,314,157,6712
125041718,15,7,9,7,19,13,3,8,0,77,13,29,42,19,65,53,3,7,94,326,399,549,626,273,1228,1265,151,234,164,4893
125041719,17,14,15,10,24,18,4,0,0,101,27,27,36,31,71,46,4,11,54,303,383,493,652,268,1155,928,163,213,138,4398
126011496,50,49,27,12,42,50,19,30,3,284,16,45,30,20,71,98,19,42,65,403,765,1565,1053,631,1855,2432,627,1436,112,10473
126011720,34,28,16,13,33,35,10,18,0,181,18,34,22,16,68,66,16,24,46,301,630,970,646,367,1612,1893,358,698,80,7260
126011721,43,28,24,9,50,41,11,13,3,210,31,38,35,13,66,113,9,33,63,397,876,1193,834,456,2073,2308,374,706,113,8945
126021498,46,48,21,7,47,46,13,27,0,264,17,39,29,14,58,92,15,38,38,336,692,973,785,437,1503,1971,545,1236,97,8232
126021499,22,16,18,5,24,18,4,6,0,109,9,31,26,14,33,37,13,34,20,206,382,649,508,272,526,848,253,885,46,4369
126021500,70,51,30,25,58,50,7,18,7,306,32,73,39,13,136,133,30,32,108,596,1154,1599,1142,616,3052,3023,578,902,199,12267
126021501,49,43,30,15,40,39,14,18,0,253,19,32,31,16,58,83,14,24,63,342,643,978,754,393,1719,2009,453,868,125,7950
126021503,57,37,29,16,72,47,7,19,4,282,34,38,42,22,106,105,14,29,93,480,944,1238,1003,586,2640,2652,518,917,147,10653
126021590,10,18,13,0,14,7,0,10,0,70,4,3,11,9,4,12,3,8,12,66,191,341,236,128,314,469,121,332,21,2169
126021722,7,15,13,5,13,26,6,14,0,99,9,19,17,3,29,28,4,5,18,138,281,444,378,176,627,792,177,370,42,3278
126021723,60,55,32,11,42,32,4,15,0,256,45,42,46,20,98,99,17,23,87,477,867,1264,975,476,2000,1871,354,660,150,8611
126021724,63,67,36,16,51,66,14,24,10,344,34,51,28,22,90,113,15,29,80,462,985,1318,977,584,2148,2338,477,938,173,9931
126021725,31,30,21,11,38,30,7,10,3,177,20,21,30,13,66,89,13,8,58,308,577,692,559,348,1636,1676,321,551,105,6463
127011504,46,16,20,3,25,32,0,9,0,150,56,46,23,16,72,39,8,13,88,376,737,587,438,253,965,631,149,216,168,4150
127011505,62,29,13,9,40,46,8,21,3,234,40,36,25,10,66,49,9,19,76,338,885,667,488,263,1101,1033,174,481,152,5238
127011592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11
127011593,29,20,13,7,18,15,7,4,0,122,11,16,13,12,26,20,4,6,22,129,509,398,273,211,694,602,102,235,66,3083
127011594,58,20,13,17,29,30,8,4,0,172,44,32,26,13,85,47,11,12,61,335,767,581,436,317,1160,858,164,304,139,4720
127011595,36,20,21,7,36,25,8,8,0,165,41,25,25,15,61,48,3,18,39,282,794,648,530,331,1311,940,207,306,107,5162
127011596,48,30,14,11,45,35,3,12,0,195,50,29,20,12,65,59,10,18,65,327,811,695,516,319,1363,1103,205,404,125,5539
127011597,55,27,25,11,40,44,3,9,10,235,35,39,29,16,77,64,5,18,60,340,1124,973,711,440,1631,1507,308,577,137,7409
127011726,14,18,9,0,9,16,3,9,0,83,11,13,10,0,19,28,5,8,22,115,267,332,220,138,482,482,114,276,49,2353
127011727,54,24,18,16,37,54,18,18,3,246,24,25,26,19,78,58,16,27,45,322,760,802,608,419,1836,1701,382,676,126,7311
127011728,47,32,20,8,29,33,7,16,8,193,27,34,18,10,63,49,9,9,53,275,666,699,633,343,1387,1211,246,451,109,5742
127011729,57,29,19,8,62,37,16,27,3,261,25,40,29,17,111,83,14,42,79,439,821,914,785,511,2071,1754,392,805,185,8237
127021509,74,22,26,15,45,39,6,13,0,247,33,51,30,18,107,66,11,4,67,391,935,729,538,328,1483,1047,182,365,147,5751
127021510,63,34,26,5,46,43,6,16,6,258,47,40,33,20,79,74,11,22,64,388,1164,887,651,399,1558,1249,273,549,166,6899
127021511,138,30,35,10,50,24,6,4,3,303,110,89,73,46,208,98,15,17,148,800,1317,988,827,442,1920,1136,214,383,249,7482
127021512,79,32,22,9,52,24,3,16,6,243,58,47,52,20,111,48,13,17,91,466,960,785,610,337,1452,971,194,339,165,5815
127021513,121,30,28,7,27,34,6,5,11,276,86,62,58,44,166,75,13,25,113,632,1194,887,738,384,1900,1165,206,390,218,7076
127021514,30,20,18,0,25,20,7,9,0,132,31,19,13,7,62,29,8,8,36,217,634,425,369,202,798,668,164,272,84,3623
127021515,45,16,14,8,26,21,7,9,0,142,44,45,35,17,80,41,12,17,83,376,750,591,431,273,1069,705,162,214,149,4354
127021516,72,33,26,10,41,30,6,14,3,236,47,54,37,19,114,61,6,14,86,443,922,771,595,311,1372,918,195,315,165,5559
127021517,42,11,10,3,21,16,8,6,0,124,22,18,11,7,35,36,0,8,40,170,451,386,285,161,648,493,80,148,68,2720
127021518,29,23,3,4,11,17,0,4,0,105,14,10,13,6,10,22,5,8,18,106,315,273,204,93,334,299,82,219,44,1857
127021519,61,35,25,8,34,41,15,7,8,232,48,38,26,21,86,59,10,17,68,376,1044,745,585,368,1303,1048,246,358,139,5836
127021520,56,23,14,0,22,25,5,10,0,148,33,19,15,3,69,37,12,13,42,245,597,422,351,209,894,641,152,268,92,3628
127021521,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,15
127031522,64,26,25,9,40,35,11,13,3,227,50,28,30,17,66,52,9,12,59,326,961,814,619,380,1502,1175,255,429,138,6266
127031523,102,44,25,16,56,74,12,26,4,364,56,44,28,23,104,75,14,32,76,455,1319,1075,822,521,1964,1882,386,777,173,8926
127031524,68,34,24,18,53,65,19,25,6,309,59,36,20,11,96,85,21,38,75,435,1442,1109,856,604,2426,2524,600,1013,165,10734
127031599,24,13,14,5,6,20,3,7,0,92,32,24,24,11,55,40,5,9,68,262,492,376,350,195,730,541,102,171,115,3080
127031601,15,0,3,0,13,7,3,3,0,60,9,15,9,8,51,15,4,4,25,144,246,247,224,128,544,380,82,109,58,2018
127031730,25,13,6,4,20,16,6,6,0,93,32,27,32,16,57,53,0,22,62,295,621,567,510,305,1534,1290,223,368,131,5564
127031731,43,12,17,11,35,23,0,10,4,159,37,38,29,11,91,56,13,20,69,370,856,698,643,398,1766,1249,213,408,155,6380
127031732,30,13,11,6,28,13,7,3,0,116,25,35,18,17,59,40,6,15,76,288,613,523,415,229,909,610,136,217,130,3787
127031733,56,19,13,8,54,23,11,9,3,201,46,31,20,14,83,55,9,17,55,329,898,811,651,356,1772,1326,305,465,130,6719
128011529,78,52,29,19,43,61,19,37,5,344,28,44,33,21,40,73,21,34,43,336,952,1407,1001,595,1531,2108,576,1214,99,9481
128011530,71,59,37,15,55,57,14,34,6,354,25,44,32,20,79,108,20,30,52,412,1076,1382,1040,663,1935,2177,562,1099,137,10072
128011531,69,47,29,23,38,55,9,16,6,284,23,68,34,12,52,44,10,40,67,349,752,1174,853,450,1167,1455,372,815,130,7170
128011602,72,36,21,17,41,56,13,13,3,265,25,24,29,8,54,67,15,20,42,282,713,810,656,458,1320,1573,400,660,68,6656
128011603,55,28,22,9,25,32,10,28,5,213,25,48,23,17,33,54,11,29,21,269,652,1026,735,410,907,1373,386,941,61,6484
128011604,95,91,52,18,71,73,19,25,7,464,45,81,51,26,85,128,20,70,49,565,1299,1905,1371,804,2220,2996,734,1597,161,13081
128011605,9,15,6,3,5,12,0,12,0,69,3,11,11,6,11,14,3,4,10,72,160,319,210,106,211,351,86,306,22,1759
128011606,51,34,13,10,21,34,3,11,0,182,12,24,17,6,20,49,11,28,18,184,498,772,504,297,747,1037,285,692,57,4881
128021533,36,13,7,4,28,27,9,17,0,145,8,5,14,8,23,33,10,13,11,121,369,438,359,225,595,725,191,390,28,3317
128021534,49,33,16,11,39,32,15,27,0,222,15,37,17,13,30,52,15,22,15,213,520,833,573,317,896,1137,304,700,52,5342
128021535,88,63,48,32,43,87,21,37,0,418,21,46,30,27,53,79,18,39,35,353,1134,1573,1200,683,2057,2290,666,1388,104,11099
128021536,69,49,35,26,54,65,16,38,0,350,20,48,29,20,53,78,17,49,33,349,1074,1562,1152,716,1824,2484,714,1439,81,11039
128021537,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,12,0,0,7,0,0,0,0,17
128021538,87,63,42,28,94,81,17,31,3,451,29,48,27,29,106,114,25,45,65,481,1083,1441,1194,804,2755,2889,755,1257,165,12337
128021607,79,53,27,15,64,81,17,19,4,370,24,32,23,7,54,68,9,32,28,282,905,1200,963,584,1635,1870,523,882,76,8636
128021608,29,15,8,3,26,16,11,12,0,135,6,15,9,9,10,21,6,13,9,93,366,514,453,254,634,786,241,414,36,3704
128021609,25,15,11,5,20,21,7,7,0,102,8,5,0,6,16,14,4,11,9,63,191,300,211,145,350,437,118,250,18,2020
197979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199999499,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
201011001,13,59,33,15,45,48,17,37,5,267,9,20,20,8,36,42,6,32,32,209,428,1344,1052,726,1763,1660,514,967,74,8528
201011002,10,34,16,15,29,38,10,10,4,160,4,27,14,11,28,29,9,9,37,172,310,1002,682,488,1010,1127,371,740,75,5804
201011005,10,17,12,11,20,28,7,20,0,111,3,12,11,3,8,17,3,4,19,90,220,579,430,281,599,689,206,447,38,3495
201011006,15,30,32,11,52,33,17,24,4,223,8,21,20,11,19,30,11,16,41,173,282,759,664,470,1146,1039,288,487,77,5205
201011007,9,14,13,9,17,22,6,12,6,96,3,7,5,5,13,20,7,11,10,85,109,335,267,177,418,501,120,258,31,2224
201011008,17,41,26,11,46,39,12,24,4,222,29,35,14,12,64,61,16,30,46,302,376,976,799,558,1346,1210,357,625,109,6361
201011481,12,22,14,25,26,30,5,11,4,150,12,13,12,5,20,19,11,10,36,132,258,692,534,422,850,851,234,380,66,4288
201011482,9,39,40,17,38,44,12,31,3,241,10,26,14,15,33,33,9,28,33,198,421,1119,925,619,1358,1475,500,880,73,7370
201011483,26,41,27,15,43,27,6,17,3,200,4,17,15,10,26,28,5,15,39,162,322,931,760,508,1217,1134,317,535,84,5823
201011484,7,31,34,18,69,48,0,14,3,228,21,30,10,6,69,35,12,17,43,238,321,848,687,539,1238,972,228,409,100,5327
201021009,4,17,11,7,32,19,9,15,4,123,9,12,13,7,21,35,8,12,28,144,188,425,360,230,570,677,204,451,78,3182
201021010,10,19,17,9,31,34,10,23,6,158,9,26,10,14,20,28,7,11,25,142,215,528,427,336,566,612,180,485,83,3430
201021011,8,28,16,16,17,13,4,15,3,114,16,34,23,6,21,25,9,22,25,187,285,849,642,427,627,746,246,566,72,4470
201021012,0,18,8,7,23,27,3,18,0,114,3,16,16,6,23,17,7,24,31,139,181,456,358,255,512,642,203,497,73,3179
201031013,0,10,7,0,3,13,0,3,0,43,3,3,3,4,8,6,7,6,16,64,78,192,172,133,195,241,73,233,36,1348
201031014,0,7,9,5,14,14,4,6,0,64,3,12,4,0,12,8,3,13,25,86,116,286,197,162,298,366,103,299,66,1882
201031015,6,9,18,10,21,12,3,10,0,82,4,10,9,4,25,24,8,15,18,114,137,304,260,178,432,432,128,261,49,2185
201031016,10,18,13,5,20,11,3,16,0,105,12,15,10,13,35,26,5,11,24,138,160,482,349,289,602,481,121,239,64,2778
201031017,3,13,5,8,10,14,3,11,0,72,11,10,9,3,12,17,6,4,22,99,142,369,236,180,313,371,95,233,52,1982
202011018,13,46,31,10,46,45,17,20,0,223,11,28,27,15,51,35,4,28,61,248,346,1021,831,628,1494,1232,344,704,107,6715
202011019,19,38,33,11,61,48,16,13,0,226,17,26,29,11,41,51,12,14,52,250,335,828,679,517,1317,1046,296,495,104,5616
202011020,15,36,29,14,42,36,7,20,6,198,11,19,14,11,34,30,6,24,33,170,390,1052,783,579,1287,1189,345,708,86,6416
202011021,4,46,30,11,31,18,5,21,0,163,3,22,16,8,21,15,6,8,17,113,267,847,639,441,987,752,236,471,44,4688
202011022,21,57,45,35,76,75,11,32,0,364,15,44,26,14,84,65,12,30,49,352,476,1387,1100,869,2099,1714,488,839,129,9108
202011023,10,29,18,10,22,25,0,18,0,125,0,12,8,7,14,22,3,13,5,87,153,481,364,251,555,562,174,358,24,2918
202011024,5,38,20,15,37,40,10,24,0,188,3,14,11,8,20,26,3,17,20,136,270,896,669,451,994,1064,327,635,52,5368
202011025,21,43,34,24,48,56,13,28,0,270,6,21,25,14,31,41,6,22,57,224,402,933,775,666,1568,1379,369,735,100,6926
202021026,8,27,21,13,40,45,6,19,3,172,11,30,17,9,21,34,7,18,37,186,272,611,570,368,769,883,242,535,101,4350
202021027,8,26,24,22,21,26,7,12,0,156,7,31,14,19,17,23,8,17,19,160,250,895,721,516,655,803,216,435,55,4557
202021028,10,22,17,16,22,32,12,14,0,143,17,19,11,14,26,34,5,16,26,172,263,758,596,411,581,727,196,523,100,4162
202021029,4,16,11,0,11,14,3,11,4,77,3,14,6,7,7,6,4,20,23,93,120,302,257,173,298,350,120,270,48,1948
202021030,12,35,16,22,27,36,12,16,0,174,8,31,16,10,26,28,10,22,29,180,303,852,560,469,733,987,297,681,83,4980
202021031,11,23,15,16,11,18,4,12,0,113,12,21,9,4,13,22,7,15,15,125,247,636,423,350,517,805,239,498,47,3764
202031032,6,15,11,7,9,17,7,12,0,88,6,14,7,6,13,15,0,17,26,106,157,339,239,173,376,404,105,370,61,2230
202031033,4,17,7,0,8,11,3,5,0,67,4,16,8,9,29,17,0,23,43,160,148,426,348,232,362,464,143,656,107,2879
203011034,8,27,21,11,27,41,7,22,0,160,4,21,12,7,19,29,3,20,23,145,237,617,452,305,706,788,216,515,56,3891
203011035,13,28,19,8,30,31,9,13,4,159,9,12,10,13,27,22,7,12,26,144,256,615,426,303,681,864,222,579,92,4043
203011036,8,17,6,5,14,22,3,20,0,103,5,10,11,9,16,25,7,23,30,126,215,573,375,310,507,650,162,508,75,3371
203021037,19,48,41,14,63,42,9,21,0,243,11,43,24,16,42,33,8,18,46,242,420,1285,894,623,1541,1483,418,702,110,7480
203021039,17,45,28,23,37,42,8,24,0,215,16,37,21,12,45,39,9,23,38,232,410,1198,852,622,1372,1471,376,746,83,7121
203021040,29,61,49,28,67,54,20,26,3,334,12,42,30,25,63,73,12,43,74,374,638,1651,1392,922,2291,2430,722,1278,146,11470
203021042,20,76,59,27,47,61,16,25,0,330,12,54,33,30,67,63,19,52,38,361,670,2449,1514,963,2116,2391,730,1430,116,12375
203021043,28,66,50,18,65,67,11,37,4,355,13,28,30,28,66,95,18,40,59,370,523,1323,1104,734,2123,2203,586,1188,149,9936
203021044,19,52,56,16,58,59,12,35,4,319,5,23,18,22,40,44,10,22,39,219,335,1054,829,601,1287,1327,346,602,81,6464
203021045,22,53,35,18,64,64,21,25,3,300,11,35,16,14,59,57,9,17,54,279,340,1109,912,553,1420,1324,347,525,120,6647
203021046,0,23,20,20,24,24,5,16,0,132,9,26,27,12,32,24,5,22,18,180,261,944,665,467,778,1035,346,838,37,5376
203021047,15,38,36,15,55,59,3,19,0,238,13,36,22,25,62,73,7,23,69,322,396,1060,896,602,1529,1544,349,641,155,7170
203021485,17,37,36,14,43,27,10,14,4,206,0,25,12,8,22,32,4,17,28,145,331,773,688,487,1306,1192,299,501,75,5648
203021486,24,44,44,12,63,44,5,19,0,264,24,49,32,29,85,90,21,33,95,465,363,1190,907,585,1624,1474,336,607,180,7257
203021487,34,75,69,33,80,91,18,32,3,431,16,58,27,16,74,89,17,42,54,393,680,2161,1580,1078,2538,2563,728,1148,149,12627
203021488,4,29,9,3,30,26,7,11,5,126,17,23,27,10,31,48,8,15,42,218,182,494,428,295,681,600,127,213,89,3106
203031048,25,61,34,26,58,61,21,31,6,326,12,35,23,18,32,53,15,25,46,249,451,1268,977,669,1431,1525,430,706,104,7564
203031049,3,14,10,4,12,7,3,3,0,64,6,20,18,9,9,18,4,5,20,110,248,594,386,270,402,472,160,306,43,2879
203031051,11,21,27,12,23,24,9,15,0,137,13,23,13,6,16,22,6,10,27,139,270,598,448,310,604,648,176,356,74,3485
203031052,9,13,10,7,4,13,3,6,0,64,5,10,14,7,9,12,5,11,20,85,160,444,314,186,309,353,98,259,50,2169
203031053,46,80,53,36,67,50,13,33,4,380,27,47,40,36,54,99,22,66,55,436,792,2040,1468,997,2026,2594,773,1556,131,12382
203031489,21,41,38,6,35,28,9,15,0,198,9,31,19,13,26,41,4,22,30,192,367,932,775,484,1053,1179,325,637,77,5828
203031490,22,72,52,23,44,39,9,26,4,303,19,44,33,24,29,56,20,24,55,301,624,1633,1254,847,1418,1848,499,991,168,9277
204011054,19,25,13,7,22,17,4,15,0,120,5,22,11,12,20,17,6,18,19,121,231,489,363,294,523,514,120,359,74,2957
204011055,5,18,15,15,10,12,4,11,4,97,5,7,8,3,7,18,0,10,21,85,189,431,326,281,427,588,116,455,86,2888
204011056,24,40,27,22,62,65,20,28,4,292,12,50,32,24,48,76,17,47,67,361,403,1021,806,538,1360,1570,441,915,154,7214
204011057,9,29,21,19,23,33,11,23,5,178,12,23,21,12,24,32,8,10,47,202,296,813,628,430,687,857,276,667,131,4785
204011058,5,12,3,0,5,13,11,0,0,44,6,7,13,13,8,16,4,10,10,84,103,305,210,154,363,456,108,312,39,2047
204011059,8,15,12,4,25,25,0,10,0,104,7,8,3,0,11,19,4,3,27,84,162,409,313,264,561,511,140,265,68,2687
204011060,7,3,11,3,8,15,0,7,0,56,11,7,3,9,11,19,0,8,29,99,133,277,231,136,364,631,200,434,52,2465
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,6,18,21,4,0,3,83
204011062,5,13,11,0,9,16,5,9,0,68,10,8,6,7,12,18,4,21,11,103,122,277,224,130,245,342,108,274,41,1760
204021063,0,34,12,13,22,35,13,16,4,152,13,19,15,7,30,28,10,30,55,211,258,717,535,364,805,835,219,577,129,4437
204021064,0,19,14,0,8,21,0,11,0,69,4,10,5,0,8,11,4,9,15,74,111,255,231,157,290,348,100,331,40,1858
204021065,0,9,3,5,16,16,6,12,3,72,3,9,8,0,7,11,4,0,12,65,106,255,212,144,317,425,111,271,43,1881
204021066,24,51,33,22,81,85,22,31,0,343,15,37,33,18,76,71,16,33,63,348,479,1362,1076,891,1946,1682,459,900,135,8934
204021067,11,25,15,9,31,45,8,23,0,173,10,23,13,14,32,20,10,34,43,200,299,710,614,450,806,958,316,833,126,5110
204031068,3,6,4,3,4,7,0,11,0,46,5,13,4,5,13,11,0,5,19,79,185,367,304,216,398,389,104,290,45,2309
204031069,7,21,20,8,15,6,4,11,0,103,12,18,18,9,25,11,0,12,20,126,337,762,601,425,666,681,209,561,82,4318
204031070,4,6,0,0,5,16,0,13,3,51,5,15,0,4,16,20,5,6,11,74,92,244,161,146,278,325,93,222,33,1600
204031071,3,11,7,0,11,13,9,10,4,71,7,9,9,4,7,14,3,6,25,91,156,354,321,202,397,387,117,267,66,2275
204031072,7,17,15,4,14,32,8,10,3,105,8,15,6,8,11,16,3,6,22,96,155,426,296,241,433,530,149,531,72,2834
204031073,13,52,32,19,55,45,9,31,0,271,8,34,25,12,49,39,12,21,59,245,346,1010,767,671,1634,1464,436,794,114,7225
204031075,7,7,12,4,15,22,6,10,3,87,6,18,9,7,9,16,3,12,19,101,161,381,313,244,402,495,149,415,52,2625
204031491,17,41,32,14,36,42,15,31,0,222,4,13,10,8,39,41,5,15,47,187,313,795,709,521,1330,1694,464,819,103,6750
204031492,16,33,34,18,61,68,20,22,11,279,11,35,24,19,60,57,18,15,59,295,338,937,770,614,1477,1375,418,637,140,6707
205011076,27,72,49,28,81,96,17,42,9,418,21,47,27,16,65,78,23,43,82,408,491,1354,1046,764,1694,1705,484,1140,197,8864
205011077,10,22,3,12,32,30,4,14,5,125,13,19,13,8,15,15,4,23,22,140,196,487,395,236,497,550,164,504,71,3106
205011078,9,16,23,11,25,35,6,24,4,149,8,22,10,4,25,18,8,12,30,142,218,618,488,287,681,678,217,585,101,3869
205011079,31,74,59,48,99,93,33,72,0,507,21,46,30,13,62,73,26,34,72,370,604,1691,1264,940,2033,2053,608,1485,166,10836
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,10,43,41,33,63,61,13,31,4,289,15,30,37,23,56,34,13,32,49,278,334,1014,879,658,1312,1142,340,648,146,6475
205021082,4,26,25,17,22,29,7,24,9,156,19,17,13,12,42,19,3,21,43,193,240,542,542,357,645,653,212,594,99,3888
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,13,28,23,10,26,25,8,7,0,144,14,28,8,8,23,17,0,18,47,159,290,777,530,363,621,662,157,417,107,3919
205021085,0,18,4,5,4,15,4,4,0,70,7,19,10,5,13,12,0,8,29,104,166,466,341,248,351,389,108,366,75,2515
205021086,5,16,8,17,21,13,3,11,0,92,10,20,9,5,11,4,3,5,18,75,157,451,312,237,432,403,130,263,47,2431
205031087,8,28,14,9,13,27,3,12,5,121,13,24,22,11,8,19,4,15,50,157,277,776,534,361,436,636,178,667,118,3973
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,11,4,3,6,6,7,0,57
205031089,16,37,21,13,31,36,5,39,4,212,17,28,26,17,36,39,7,24,35,226,276,733,579,405,743,828,240,683,113,4596
205031090,4,32,23,22,40,39,12,28,8,217,10,27,12,19,34,29,4,20,46,199,279,876,650,435,804,914,312,773,129,5165
205031091,12,41,33,14,28,26,13,24,3,189,23,35,22,11,18,32,10,16,42,213,512,1056,784,482,895,933,249,510,117,5536
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,8
205031093,45,91,64,36,72,72,15,34,10,444,39,65,33,27,65,70,17,30,99,452,735,1979,1501,1020,1724,2031,483,1116,257,10846
205041094,9,33,18,11,46,47,12,31,5,203,24,30,15,16,28,41,5,23,49,230,308,817,607,455,1029,960,274,588,113,5145
205041095,12,43,31,19,65,68,12,27,6,279,19,29,21,7,45,65,14,36,70,304,355,1029,836,578,1398,1217,329,577,173,6498
