SA2_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
103041077,15,44,38,27,71,65,21,48,0,329,12,38,23,10,58,68,10,36,61,305,370,1165,913,585,1826,1536,548,1167,127,8234
103041078,17,53,62,27,87,94,39,88,5,476,8,32,19,12,64,47,12,32,68,306,461,1451,1176,769,2450,2285,851,1792,157,11386
103041079,8,30,21,20,35,51,20,40,6,224,10,21,16,16,31,37,10,41,33,216,239,808,735,410,968,1099,393,1171,103,5932
104011080,7,40,29,23,81,62,21,26,4,290,15,36,28,12,52,52,12,19,87,308,328,1076,898,691,1720,1193,369,752,171,7194
104011081,9,31,26,31,42,50,7,45,4,245,19,43,21,13,43,29,7,37,53,267,326,967,831,577,1196,1027,267,883,148,6225
104011082,7,47,40,14,44,44,13,16,3,227,23,32,19,12,35,35,5,24,65,258,324,1147,891,602,1077,1056,275,699,123,6197
104021083,0,14,12,9,16,13,0,7,0,72,10,22,13,9,12,18,3,11,14,115,126,563,442,272,417,380,118,227,43,2588
104021084,8,62,31,25,81,66,24,32,3,337,11,70,19,17,54,45,5,20,61,295,359,1283,995,699,1701,1227,417,703,144,7523
104021085,4,25,21,15,48,33,12,15,3,177,11,34,23,14,36,28,9,15,48,212,228,772,649,463,971,707,203,421,114,4540
104021086,8,3,15,9,15,15,8,5,0,78,5,12,6,8,30,16,0,14,20,110,90,286,256,179,374,325,87,218,43,1863
104021087,0,4,0,3,4,10,5,4,0,39,8,19,11,3,4,3,0,8,21,69,42,244,179,121,178,177,38,233,46,1245
104021088,4,25,25,22,45,46,16,21,0,206,12,16,19,8,29,29,4,20,24,152,219,843,677,468,934,874,292,592,64,4953
104021089,18,39,35,40,77,69,12,33,0,322,17,49,25,22,64,61,8,27,63,338,422,1535,1193,866,1760,1547,437,841,137,8747
104021090,5,15,9,8,14,13,4,10,0,79,7,8,3,0,11,25,0,10,16,76,111,317,278,221,346,319,93,198,35,1911
104021091,9,40,36,20,74,43,5,15,0,239,6,37,23,19,46,31,3,25,52,248,265,988,906,598,1356,1064,286,626,123,6215
105011092,0,9,0,0,8,8,3,11,0,38,0,3,0,0,14,9,5,3,26,62,49,124,79,89,257,266,79,361,54,1358
105011093,3,6,3,3,5,14,3,17,0,61,9,7,4,0,9,10,3,16,15,66,108,170,166,89,230,302,142,597,50,1853
105011094,5,6,4,4,6,5,3,3,0,39,0,12,7,3,6,9,4,8,18,70,57,159,133,135,218,272,101,387,49,1501
