SA2_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
101021007,9,25,4,9,4,0,0,47,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,9,32,19,17,14,0,0,95,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,33,18,20,22,0,0,104,11,19,3,0,0,0,0,32,0,0,0,0,0,0,0,0,23,52,21,22,19,0,0,136
101021008,7,24,18,10,4,4,0,66,9,8,0,0,0,0,0,14,0,0,5,4,0,0,0,3,29,50,59,40,37,12,4,237,3,3,0,0,4,0,0,12,0,3,0,0,4,0,0,10,3,3,3,3,6,0,0,20,35,59,59,36,40,12,4,251,54,62,27,20,11,5,0,183,0,0,0,0,0,0,0,4,92,118,92,59,56,12,4,434
101021009,22,33,15,12,12,0,0,96,4,7,7,5,0,0,0,19,0,0,0,0,0,0,0,7,50,105,54,26,47,17,10,321,0,3,0,4,0,0,0,10,3,7,4,0,0,0,0,9,4,9,0,3,0,0,0,24,55,117,60,30,52,17,10,341,30,29,16,4,14,4,0,98,0,0,0,0,0,0,0,0,85,148,75,36,63,23,11,435
101021010,10,15,11,5,6,0,0,46,3,3,4,0,0,0,0,13,0,0,0,0,4,0,0,7,22,38,46,24,26,4,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,43,19,26,4,0,161,9,6,4,0,0,0,0,27,0,0,0,0,0,0,0,4,30,46,51,24,28,6,4,190
101021012,9,26,10,8,17,6,0,85,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,4,29,84,58,44,64,28,13,323,3,0,0,5,0,0,0,8,4,0,0,0,0,0,0,3,6,0,0,5,0,0,0,10,31,84,58,46,65,28,15,334,30,23,8,15,12,3,0,89,0,0,0,0,0,0,0,6,63,107,72,59,76,30,15,421
101021610,9,6,0,0,6,0,0,23,6,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,37,46,20,21,24,8,4,153,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,38,46,22,20,24,8,4,159,6,6,3,0,0,0,4,15,0,0,0,0,0,0,0,0,46,54,28,20,19,3,4,175
101021611,11,16,23,12,7,6,0,75,7,4,3,9,0,0,0,20,7,0,3,0,0,0,0,5,42,62,61,56,58,16,12,299,3,0,3,0,0,0,0,11,0,3,3,0,0,0,0,7,3,3,8,7,0,0,0,14,45,65,71,54,60,16,13,319,26,29,8,4,4,3,0,77,0,0,0,0,0,0,0,0,76,92,82,59,59,16,13,393
101031013,4,12,9,5,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,5,6,13,20,16,9,0,0,57,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,4,6,19,16,16,8,0,0,64,7,7,8,4,3,0,0,33,0,0,0,0,0,0,0,0,13,31,25,15,13,0,0,98
101031014,17,26,9,18,11,0,0,83,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,49,30,28,42,7,6,183,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,7,0,4,4,3,0,0,0,11,21,58,36,29,47,7,7,197,38,32,14,9,8,0,0,97,0,0,3,0,0,0,0,3,59,93,49,38,56,5,7,297
101031015,4,8,0,5,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,10,14,15,16,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,15,16,0,0,65,7,0,3,0,4,0,0,12,0,0,0,0,0,0,0,0,5,14,13,15,19,0,0,78
101031016,4,19,19,15,19,0,0,74,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,34,39,29,43,0,6,159,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,9,34,39,31,41,0,6,164,7,13,9,8,6,0,0,42,0,0,0,0,0,0,0,0,16,43,52,41,51,0,6,205
101041017,36,45,36,28,28,0,0,180,5,4,12,4,0,0,0,20,0,0,0,0,0,0,0,0,58,68,73,47,43,6,0,301,0,0,0,4,0,0,0,6,3,3,0,0,0,0,0,3,3,4,0,4,0,0,0,12,60,76,73,50,46,6,0,318,72,40,26,16,18,7,0,174,0,4,0,5,0,0,0,11,133,123,100,71,64,12,0,499
101041018,15,35,32,22,23,0,0,131,4,3,5,5,6,0,0,21,0,5,0,0,0,0,0,5,30,58,64,46,56,3,0,265,0,0,6,0,0,4,0,9,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,14,30,65,70,46,57,6,4,279,48,30,22,18,13,0,0,128,0,5,0,0,0,0,0,5,81,95,92,64,71,12,3,412
101041019,21,39,31,9,19,6,0,132,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,9,27,77,66,29,42,10,0,249,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,12,30,79,68,29,42,8,0,263,32,43,17,18,12,0,0,131,0,4,3,0,0,0,0,11,61,128,94,51,61,12,0,401
101041020,10,39,21,13,16,0,0,104,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,24,56,38,26,37,7,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,24,57,42,23,39,7,0,184,37,24,19,16,8,6,0,115,0,0,0,0,0,0,0,6,60,83,61,40,51,9,0,301
101041021,3,10,11,14,8,0,0,56,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,22,18,23,24,16,0,114,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,24,23,28,16,0,114,0,10,3,6,3,0,0,26,0,0,0,0,0,0,0,0,8,28,25,26,31,16,0,141
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,11,28,15,12,4,0,0,65,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,31,25,19,8,5,0,98,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,10,0,6,0,3,3,0,0,13,17,36,28,21,10,5,0,114,14,11,8,14,3,0,0,55,0,0,0,0,0,0,0,4,30,50,36,36,19,5,0,167
101041024,6,15,4,3,6,0,0,40,0,0,4,0,0,0,0,4,0,0,0,3,0,0,0,3,6,22,19,16,17,5,0,77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,3,11,20,19,17,17,5,0,86,8,10,5,0,5,0,0,36,0,0,0,0,0,0,0,0,17,32,29,17,18,3,0,124
101041025,18,44,30,19,27,4,0,141,8,6,3,0,3,0,0,18,0,0,0,0,0,0,0,6,28,68,67,43,63,8,4,277,7,0,0,0,0,0,0,7,0,3,0,0,0,0,0,7,3,5,0,0,4,0,0,13,26,69,64,43,68,8,4,288,15,21,11,5,16,0,0,68,0,0,0,0,0,0,0,4,45,91,78,52,87,10,5,357
101041026,13,32,17,9,7,0,0,82,0,5,3,4,0,0,0,10,0,0,0,0,0,0,0,3,18,53,46,32,37,0,0,192,0,0,3,0,0,0,0,4,3,0,0,3,3,0,0,6,4,0,6,3,3,0,0,11,29,48,51,34,39,0,0,200,16,26,17,19,12,0,0,92,3,3,0,0,0,0,0,11,47,77,74,51,48,8,4,300
101041027,10,30,23,19,17,0,0,103,4,5,0,4,0,0,0,19,0,8,0,0,0,0,0,11,23,55,42,39,36,0,0,201,0,4,4,5,0,0,0,10,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,9,21,64,48,39,38,0,0,212,38,35,10,13,16,0,0,115,0,4,0,0,0,0,0,4,58,102,62,54,47,0,0,329
101051539,61,130,67,50,40,11,0,361,9,9,5,3,0,0,0,28,12,12,6,0,0,0,0,25,121,234,165,109,115,24,6,784,0,12,3,0,6,0,0,18,13,12,10,4,7,0,0,43,11,18,13,9,8,0,0,67,142,260,174,114,124,24,6,852,119,137,78,42,42,0,0,424,0,0,4,3,0,0,0,8,261,394,262,162,172,29,6,1280
101051540,17,39,24,21,16,3,0,121,3,0,0,0,3,0,0,13,3,0,5,0,5,0,0,9,32,64,53,37,55,10,8,263,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,5,31,69,51,40,55,10,8,270,42,27,21,16,9,4,0,121,0,0,0,0,0,3,0,3,80,98,71,52,63,16,8,388
101061541,20,16,17,7,10,0,3,79,0,4,0,0,0,0,0,6,0,3,0,0,0,0,0,4,30,45,33,28,45,7,5,198,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,45,36,28,47,7,5,202,20,37,15,14,0,0,0,90,0,0,0,0,0,0,0,0,54,86,51,35,53,9,6,291
101061542,10,25,19,11,9,4,3,78,8,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,23,62,48,33,49,16,3,227,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,25,60,48,31,50,16,3,230,17,20,11,6,8,4,0,61,0,0,3,0,0,0,0,4,40,78,59,36,53,15,6,298
101061543,31,55,36,31,29,6,0,194,4,6,0,0,6,0,0,13,0,0,0,0,3,0,0,5,55,89,67,67,62,15,0,355,0,8,4,0,5,0,0,22,3,10,5,3,5,0,0,21,3,18,9,5,9,0,0,44,59,105,80,70,72,16,0,401,70,83,44,22,22,0,0,235,0,3,4,0,0,0,0,8,136,190,131,86,95,16,0,657
101061544,11,19,17,9,11,5,0,67,7,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,24,33,32,17,30,6,0,135,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,3,3,4,0,0,0,12,23,35,35,17,27,6,0,148,31,39,20,12,12,0,0,106,0,0,0,0,0,0,0,7,55,75,53,29,38,8,0,261
102011028,16,17,16,11,28,6,0,94,3,9,3,6,6,0,0,23,0,0,0,0,0,0,0,0,24,40,39,34,65,15,13,233,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,7,0,5,6,0,3,0,0,11,24,42,39,37,69,15,13,242,13,22,9,10,0,5,3,59,0,0,0,0,0,0,0,0,32,64,46,47,69,25,15,299
102011029,13,19,13,9,11,11,0,77,3,5,0,0,0,3,0,15,0,0,0,0,0,0,0,4,25,54,43,28,34,16,5,205,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,51,42,29,35,16,5,209,17,24,17,7,10,4,0,76,0,0,0,0,3,0,0,5,37,75,63,39,49,24,5,294
102011030,5,0,9,4,10,0,3,27,0,4,3,3,8,0,0,17,0,4,0,0,4,0,0,6,12,16,26,10,24,5,8,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,22,12,21,5,8,98,13,13,10,0,5,0,0,41,0,0,0,0,0,0,0,0,23,30,30,19,25,7,8,137
102011031,12,42,34,22,21,10,0,140,11,4,5,11,10,0,0,35,0,0,0,0,0,0,0,0,36,74,63,58,67,33,9,343,5,3,4,0,5,0,0,14,4,3,0,0,0,0,0,3,4,3,4,0,0,0,0,17,38,77,72,56,70,33,9,363,31,22,25,20,24,3,0,132,0,0,0,3,3,0,0,10,69,109,97,83,97,37,11,499
102011032,35,80,41,27,53,11,3,263,16,16,14,9,9,9,0,68,0,5,5,0,0,0,0,13,95,149,116,90,142,38,19,644,0,8,7,0,6,0,0,20,0,8,6,0,0,0,0,17,4,10,15,0,6,4,0,40,95,163,130,89,148,42,22,690,95,85,41,37,34,6,7,311,0,4,3,5,6,0,0,8,190,254,175,131,185,43,29,1008
102011033,10,20,11,7,15,4,0,76,0,0,0,5,0,0,0,9,0,5,0,0,0,0,0,3,16,41,48,40,40,10,7,199,0,0,0,4,0,0,0,7,4,0,0,0,0,0,0,4,4,0,0,4,0,0,0,9,15,46,48,38,40,10,7,208,31,36,21,13,15,0,0,113,0,0,0,0,0,0,0,0,52,82,64,48,59,14,9,320
102011034,7,22,18,11,15,9,4,97,3,4,0,4,4,0,0,17,0,0,0,0,0,0,0,4,25,55,45,30,43,23,5,221,0,0,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,8,0,3,3,0,0,9,22,53,47,30,43,23,5,232,24,18,14,15,13,0,0,82,0,0,0,0,0,0,0,0,48,78,61,42,58,24,5,316
102011035,17,23,21,7,13,3,3,91,4,0,7,0,8,0,0,22,0,0,0,0,0,0,0,0,33,53,46,32,41,13,10,222,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,33,53,53,35,41,13,10,232,19,27,14,19,11,3,3,87,0,0,0,0,0,0,0,0,45,74,65,49,51,20,10,319
102011036,11,24,20,19,18,9,4,98,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,6,20,62,35,44,54,25,8,256,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,60,35,45,60,22,8,258,27,32,14,16,16,7,0,109,0,0,0,0,0,0,0,0,50,90,50,64,72,32,11,368
102011037,4,19,16,10,9,4,3,64,0,3,3,0,3,0,0,6,0,0,0,0,0,0,0,0,16,27,27,24,24,10,3,129,0,5,0,0,5,3,0,7,0,5,0,0,0,0,0,6,4,6,0,0,5,3,0,17,17,33,30,24,26,16,3,151,14,17,12,8,5,0,4,53,0,0,0,0,0,0,0,0,37,49,40,25,34,17,8,206
102011038,13,26,20,16,16,6,0,89,0,14,4,0,0,0,0,25,0,0,0,0,0,0,0,3,19,49,36,27,26,21,3,187,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,54,38,25,26,21,3,190,26,18,12,9,8,0,0,58,0,0,0,0,0,0,0,4,38,71,51,30,36,18,8,253
102011039,22,37,41,35,35,3,4,180,5,7,4,3,5,0,3,32,5,4,0,0,0,0,0,8,38,79,88,62,95,29,20,415,0,5,5,0,0,0,0,10,0,5,0,0,0,0,0,8,0,13,8,0,0,0,0,19,40,89,93,63,99,29,20,433,23,35,11,20,20,7,0,115,0,0,0,0,0,0,0,0,60,120,109,83,118,40,27,550
102011040,50,104,57,32,50,16,11,313,18,21,17,20,10,6,0,93,0,0,0,4,0,0,0,8,96,207,159,109,136,43,16,762,5,7,4,0,0,0,0,18,3,4,0,0,4,0,0,21,11,11,9,3,3,0,0,34,108,222,163,111,142,40,22,799,115,153,81,50,55,13,10,481,4,0,0,0,0,0,0,8,229,374,246,161,196,53,30,1285
102011041,9,25,23,11,22,6,0,106,0,13,5,9,5,0,0,33,0,0,0,0,0,0,0,3,27,70,64,42,50,18,6,280,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,3,0,0,0,0,8,27,71,67,43,57,18,6,289,17,16,16,13,9,6,3,91,0,0,0,0,0,0,0,0,50,88,80,59,64,25,11,377
102011042,33,56,56,26,31,11,5,210,14,16,11,5,7,0,0,49,0,7,3,0,0,0,0,8,58,116,96,49,72,21,10,426,3,0,0,0,4,0,0,14,4,0,3,0,3,0,0,12,11,0,0,5,4,0,0,24,66,120,102,54,75,27,10,451,82,98,36,30,30,8,4,281,0,4,5,0,0,0,0,11,146,226,142,82,106,30,17,745
102011043,18,38,31,31,25,9,3,163,3,11,11,9,3,0,0,41,0,0,0,0,0,0,0,0,34,84,68,55,65,23,7,335,6,6,4,6,0,0,0,14,5,6,0,4,3,0,0,18,7,12,5,4,3,3,0,32,39,93,72,64,69,27,7,367,62,72,51,39,37,9,8,269,0,0,0,0,0,0,0,3,101,165,122,101,100,34,12,639
102021044,48,101,72,35,61,15,7,344,26,27,12,8,14,0,0,80,0,3,7,3,0,0,0,15,87,203,148,93,143,36,15,736,0,0,0,5,0,0,0,14,4,0,8,5,0,0,0,20,5,6,13,13,5,0,0,30,92,206,162,106,141,37,15,768,102,149,76,56,56,11,4,450,6,4,3,0,0,0,0,15,197,363,240,167,198,48,19,1227
102021045,42,71,31,31,21,5,0,200,18,23,9,6,6,3,0,72,8,8,6,4,4,0,0,24,80,133,76,57,71,19,3,447,5,3,7,6,9,0,0,29,12,10,3,0,0,3,0,30,18,17,12,6,9,3,0,56,97,150,93,61,79,23,3,510,151,141,73,53,53,10,0,473,4,0,0,0,0,0,0,8,252,289,164,112,128,27,0,982
102021046,28,44,26,13,24,3,0,133,0,6,9,9,3,3,0,31,0,0,0,0,0,0,0,0,47,82,47,38,51,11,3,278,3,0,0,0,4,0,0,6,0,5,4,0,0,0,0,9,0,8,4,0,4,0,0,14,51,86,55,38,53,11,3,298,78,66,28,24,18,11,0,224,4,0,0,0,0,0,0,3,132,159,82,59,67,22,8,523
102021047,34,63,28,35,27,4,5,200,12,12,3,4,4,4,0,49,4,3,4,3,0,0,0,11,60,116,87,68,78,18,16,443,3,4,6,3,0,0,0,22,6,3,4,3,3,0,0,15,8,4,8,0,7,0,0,38,64,128,96,74,81,23,18,476,78,56,57,19,25,7,4,247,0,0,0,3,0,0,0,9,141,181,148,97,107,30,19,730
102021048,82,105,60,58,47,15,6,371,30,34,11,18,11,10,0,115,3,7,6,5,0,0,0,24,144,215,132,126,115,41,17,788,5,13,6,0,11,6,0,35,10,9,7,4,3,0,0,34,12,23,10,4,14,6,0,71,156,234,144,125,132,48,17,853,201,174,89,63,67,3,3,606,3,0,0,8,3,0,0,17,365,412,235,193,205,54,26,1479
102021049,0,4,8,9,3,3,0,26,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,3,15,12,7,7,3,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,12,7,7,3,0,55,8,19,9,3,3,0,0,40,0,0,0,0,0,0,0,0,14,31,21,17,14,4,3,94
102021050,24,54,22,20,24,4,3,153,13,15,11,7,6,5,0,56,7,0,0,0,0,4,0,8,48,82,61,53,47,20,5,320,0,3,0,0,0,0,0,9,3,4,0,0,0,0,0,13,5,4,0,0,4,0,0,21,60,94,66,53,47,20,5,341,40,52,34,20,15,3,0,172,0,0,0,0,0,0,0,6,98,144,103,71,62,24,10,522
102021051,0,11,14,5,13,4,0,51,3,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,21,32,20,33,10,3,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,32,20,33,10,3,138,14,14,3,0,0,0,0,36,0,0,0,0,0,0,0,0,31,42,34,19,34,10,3,173
102021052,18,23,21,10,20,5,0,97,6,3,7,7,0,0,0,19,0,0,0,0,0,0,0,0,33,43,42,30,29,7,3,190,0,0,0,0,0,0,0,6,5,10,0,0,0,0,0,15,5,12,0,0,0,0,0,17,42,54,39,30,29,7,6,212,33,39,23,9,6,3,0,115,0,0,0,0,0,0,0,0,72,97,69,40,37,9,6,328
102021053,24,60,43,28,44,5,0,205,17,21,14,0,8,0,0,59,3,0,0,0,0,0,0,7,61,116,103,54,96,17,11,458,4,4,8,6,0,0,0,15,4,3,0,3,3,0,0,18,0,8,8,6,3,0,0,30,71,124,112,59,99,15,8,492,84,80,55,41,38,4,8,306,0,5,0,0,0,0,0,4,155,209,165,101,134,21,16,802
102021054,29,32,17,18,25,6,0,128,8,14,12,0,3,0,0,38,0,0,0,0,0,0,0,3,49,68,55,36,54,17,3,286,3,8,5,6,4,0,0,19,7,5,3,3,3,0,0,25,12,13,9,11,5,0,0,47,61,86,58,40,60,22,3,333,56,48,31,16,11,9,0,181,0,3,4,0,3,0,0,11,120,135,98,61,79,28,3,527
102021055,9,14,17,4,16,10,0,75,8,5,0,0,6,0,0,23,0,0,0,0,0,0,0,4,28,42,37,19,35,22,10,190,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,11,4,4,0,0,0,0,0,10,32,45,40,17,38,22,10,202,19,24,18,15,13,3,0,93,0,0,0,0,0,0,0,0,53,71,53,33,47,24,7,300
102021056,53,84,65,39,48,5,3,298,26,27,9,4,13,0,0,74,7,5,4,0,0,0,0,16,124,178,153,105,146,28,19,748,4,6,6,0,4,0,0,32,0,4,3,0,0,6,0,19,4,16,10,8,6,6,0,44,131,188,165,108,155,32,16,791,148,127,90,52,50,9,0,476,0,0,0,0,0,0,0,0,269,322,252,166,200,37,20,1267
102021057,33,36,33,21,19,6,3,142,6,11,9,4,0,0,0,29,6,0,0,0,0,0,0,9,52,61,55,39,48,15,11,278,3,0,5,5,4,0,0,16,8,3,4,0,3,5,4,25,6,4,9,3,0,5,4,40,58,69,65,41,50,21,10,308,127,102,47,39,27,7,4,360,0,0,0,3,0,0,0,3,187,170,114,86,79,31,8,677
103011059,24,61,44,29,33,4,0,201,12,0,8,7,0,0,0,20,0,0,0,0,0,0,0,7,71,122,110,75,90,18,0,487,0,5,7,3,7,0,0,25,3,9,5,4,0,0,0,29,6,16,12,6,11,4,0,54,76,137,121,81,99,23,0,540,86,74,33,26,21,0,0,251,6,4,0,0,3,0,0,13,168,218,154,107,128,21,9,803
103011060,5,6,10,5,4,0,0,29,6,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,7,24,29,18,20,7,0,97,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,28,29,18,22,7,0,108,15,7,7,0,0,0,0,35,0,0,0,0,0,0,0,0,25,37,31,20,26,7,0,144
103011061,10,14,7,0,7,0,0,42,3,0,4,0,0,0,0,9,0,0,3,0,0,0,0,7,18,32,36,19,22,4,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,16,34,36,23,22,4,0,131,24,15,9,7,9,0,0,59,0,0,0,0,0,0,0,3,41,44,45,31,24,4,0,194
103011612,28,45,24,23,20,6,0,151,3,0,7,0,5,0,0,15,3,0,0,0,0,0,0,3,46,88,52,45,58,20,3,306,3,10,4,3,0,0,0,20,3,6,0,0,4,0,0,14,5,9,4,7,3,0,0,35,52,102,54,46,61,20,6,339,44,49,30,17,7,3,0,150,5,0,0,0,0,0,0,4,104,146,88,63,72,22,5,500
103011613,43,70,42,36,44,10,4,245,0,6,4,0,0,0,0,11,4,8,0,0,10,0,0,17,80,167,99,83,112,22,10,566,4,3,3,3,3,0,0,16,7,0,0,4,0,0,0,19,12,6,3,3,0,0,0,34,90,174,102,84,119,22,10,598,63,77,34,23,23,0,4,224,0,3,3,4,0,0,0,11,162,253,133,112,139,23,14,835
103021062,12,27,20,15,11,0,0,80,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,17,41,30,18,25,0,5,137,3,3,0,0,4,0,0,6,0,0,4,0,0,0,0,7,6,9,3,0,4,0,0,21,20,47,37,26,24,0,5,156,36,48,19,12,9,0,0,130,3,3,0,0,0,0,0,15,64,97,62,43,37,0,5,294
103021063,29,66,30,29,13,4,0,165,6,5,5,0,0,0,0,13,0,0,0,0,0,0,0,0,54,99,56,61,40,13,0,314,3,8,5,3,4,0,0,17,6,10,0,0,0,0,0,21,13,22,5,3,6,0,0,39,64,112,57,57,38,13,0,349,80,72,31,18,13,0,0,216,0,3,3,0,0,0,0,14,150,190,91,77,58,13,0,579
103021064,3,13,5,9,9,0,0,45,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,31,20,18,21,0,0,100,0,0,3,0,0,0,0,7,0,3,0,0,0,0,0,3,0,3,3,0,0,0,0,9,16,34,23,19,22,0,0,113,22,14,14,10,11,0,0,69,0,0,0,3,0,0,0,6,36,54,35,29,35,0,0,189
103021065,20,38,20,23,21,3,0,119,3,9,4,0,3,0,0,22,0,0,0,0,0,0,0,4,39,81,43,46,56,10,0,276,0,5,0,0,0,0,0,8,4,17,3,0,0,0,0,24,4,19,3,3,8,0,0,32,43,97,45,51,57,10,0,304,69,61,33,21,7,0,0,199,3,0,0,0,0,0,0,3,113,163,82,75,70,11,0,509
103021066,8,12,0,10,7,0,0,38,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,18,4,13,14,0,0,60,0,3,4,0,0,0,0,11,3,0,0,0,0,0,0,3,3,3,4,0,0,0,0,11,14,19,10,17,14,3,0,74,13,16,9,7,7,0,0,52,0,0,0,0,0,0,0,0,26,34,23,22,19,3,0,119
