SA2_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
128021607,17,47,31,34,22,11,9,169,8,11,9,13,7,10,0,57,0,0,5,0,0,0,0,13,42,107,98,82,87,47,20,473,0,0,0,3,0,5,0,11,3,4,0,0,0,0,0,6,7,3,3,3,4,5,0,20,43,112,99,83,91,43,20,494,20,30,20,9,13,8,0,111,0,0,0,3,0,0,0,8,69,143,122,91,108,55,18,607
128021608,5,17,8,3,15,0,3,57,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12,36,28,24,37,16,12,166,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,3,0,0,0,0,5,16,40,34,25,39,16,12,172,8,9,8,3,0,0,0,32,0,0,0,0,0,0,0,0,23,49,34,29,40,16,12,210
128021609,3,6,3,0,4,0,0,21,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,5,13,11,11,10,4,3,57,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,3,0,0,3,5,13,13,11,11,4,3,59,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,21,13,11,16,5,3,70
197979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011001,38,100,74,54,56,11,5,334,10,9,5,0,7,5,0,35,9,11,0,0,0,0,0,18,73,180,143,111,144,31,16,694,0,6,6,4,3,0,0,18,3,11,7,0,0,0,0,25,3,15,12,3,6,0,0,50,78,195,156,116,151,37,16,744,86,69,22,30,22,3,0,234,0,0,0,0,0,0,0,6,166,262,182,144,175,41,15,979
201011002,16,34,23,14,32,9,6,132,3,0,0,0,4,0,0,8,0,0,0,0,0,0,0,3,29,65,50,48,91,22,12,320,4,0,0,0,5,0,0,13,0,0,5,0,0,0,0,3,4,3,5,0,5,0,0,15,30,71,51,51,92,22,12,333,17,28,12,13,14,3,3,103,0,0,0,0,0,0,0,0,51,96,70,65,109,29,15,439
201011005,10,24,18,14,18,6,0,95,4,4,5,6,0,0,0,11,0,0,0,0,0,0,0,0,20,44,39,30,42,13,5,196,0,0,0,0,5,3,0,3,4,0,4,3,3,0,0,15,4,0,4,3,5,0,0,20,27,44,41,29,45,14,5,211,8,13,6,0,5,0,0,34,0,4,0,0,0,0,0,10,28,61,52,38,51,14,5,253
201011006,43,62,43,35,28,4,5,223,10,8,4,4,5,0,0,23,0,5,5,0,0,0,0,12,68,104,79,72,67,18,8,416,0,0,0,0,9,0,0,7,0,6,0,0,3,0,0,15,4,12,0,3,9,0,0,24,66,113,86,73,74,19,8,440,71,63,35,26,24,3,4,240,0,10,4,3,0,0,0,20,147,186,125,104,96,20,12,694
201011007,4,5,6,3,11,0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,10,11,6,16,0,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,19,6,16,0,3,75,10,3,9,5,3,0,0,23,0,0,0,0,0,0,0,3,15,15,23,13,22,0,3,101
