SA2_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
101021007,3,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,5,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,0,13,0,21,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,6,0,41,0,50,4,4,0,4,0,5,0,12,4,29,0,56,5,6,0,3,0,3,0,3,0,35,0,50,7,7,0,5,0,10,0,12,3,29,0,76,6,3,0,12,0,5,0,4,0,7,0,36,0,9,0,12,0,0,0,0,0,4,0,39,13,3,4,22,0,12,0,8,0,7,0,72,13,3,0,7,4,7,0,3,0,5,0,46,19,0,0,3,0,5,0,3,0,5,0,41,16,3,0,0,0,0,0,0,0,0,0,21,27,0,0,13,4,11,4,3
101021008,0,0,0,0,0,0,0,0,0,22,0,20,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,3,0,11,0,3,0,0,0,0,0,0,0,53,0,64,0,0,0,0,0,3,0,7,0,33,0,41,0,0,0,4,0,7,0,9,0,24,0,47,3,3,0,5,0,8,0,9,0,31,0,69,0,0,0,9,3,9,0,5,0,15,0,47,15,5,0,13,0,11,0,3,0,8,0,47,45,5,0,24,7,10,4,3,0,17,0,116,42,4,3,19,4,6,0,8,0,5,0,89,41,0,0,11,3,3,0,4,0,4,0,72,32,0,3,3,0,0,0,0,0,0,0,44,62,0,4,12,3,5,0,0
101021009,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,17,0,0,0,4,0,4,0,0,0,5,0,12,0,0,0,0,0,5,0,4,0,63,0,74,0,7,0,0,0,7,0,4,0,30,0,49,0,9,0,0,0,12,0,9,4,23,0,57,7,16,0,21,0,20,0,3,5,39,0,101,11,7,0,20,0,15,0,7,0,11,0,65,18,3,0,22,3,16,0,3,0,16,0,86,82,10,0,49,10,18,0,0,0,15,0,176,69,6,0,38,0,5,3,3,3,8,0,130,65,0,3,18,5,4,4,0,0,3,0,98,55,3,0,9,5,4,0,0,0,5,0,71,83,0,0,10,6,6,5,0
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,15,0,21,0,0,0,3,0,5,0,0,0,10,0,19,0,0,0,4,0,9,0,4,0,7,0,27,0,5,0,4,0,12,0,5,0,12,0,36,4,0,0,13,0,9,0,6,0,5,0,37,10,0,0,0,0,5,0,9,0,9,0,35,37,0,0,9,0,6,0,0,0,8,0,73,42,4,0,10,5,4,0,3,0,3,0,71,36,3,0,11,0,0,0,0,0,0,0,50,22,0,0,5,0,0,3,0,0,5,0,33,36,0,0,12,4,10,0,3
101021012,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,5,0,3,0,12,0,0,0,0,0,0,0,3,0,27,0,34,0,0,0,0,0,0,0,10,0,45,0,59,0,3,0,0,0,3,0,5,0,25,0,42,4,3,0,4,0,6,0,11,0,31,0,65,0,3,0,4,0,8,0,3,4,24,0,51,5,0,0,9,3,10,0,9,0,34,0,66,37,3,0,17,0,18,3,14,4,33,0,134,44,0,0,26,0,28,0,3,0,19,0,125,49,3,0,21,6,9,4,3,0,11,0,104,42,8,0,12,0,3,0,0,0,0,0,73,172,3,3,35,8,26,3,4
101021610,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,7,0,15,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,4,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,3,0,4,32,0,0,8,0,8,3,3,0,3,0,58,41,0,0,15,3,4,0,0,0,3,0,66,51,0,0,9,4,0,0,0,0,0,0,63,51,0,0,5,0,3,4,0,0,0,0,66,109,6,5,19,11,13,0,0
101021611,3,0,0,0,0,0,0,5,0,30,0,36,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,6,0,21,0,21,0,0,0,0,0,0,0,9,0,12,0,25,4,0,0,0,0,6,0,12,0,68,3,94,4,0,0,0,0,8,0,10,4,52,0,82,4,10,0,6,0,14,4,16,0,75,0,129,3,10,0,14,0,17,0,22,0,61,0,129,13,5,0,6,0,10,0,8,3,40,0,82,14,14,3,8,0,16,4,7,6,47,0,119,47,11,0,37,5,36,3,28,8,78,0,255,61,7,3,41,5,20,0,12,6,40,0,194,77,0,0,31,4,17,0,10,0,13,0,158,77,8,3,23,6,3,4,5,0,3,0,131,233,16,0,76,29,58,6,13
101031013,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,4,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,3,0,43,0,46,4,0,0,0,0,0,0,0,0,10,0,14,0,0,0,4,0,3,0,5,4,12,0,29,5,6,0,9,0,3,0,4,0,12,0,44,4,0,0,6,0,0,0,3,0,0,0,11,7,0,0,8,0,0,0,0,0,4,0,17,9,0,0,11,0,0,0,0,0,3,0,32,9,0,0,6,0,3,0,0,0,0,0,22,15,0,0,3,5,0,0,0,0,4,0,28,13,0,0,3,0,0,0,0,0,0,0,14,10,4,0,0,0,4,0,0
101031014,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,17,0,0,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,0,0,12,3,88,0,111,0,0,0,0,0,0,0,11,6,27,0,42,3,0,0,0,0,12,0,13,0,40,0,70,0,13,0,9,0,13,0,10,3,28,0,77,3,4,3,8,0,6,0,0,0,10,0,31,14,5,0,12,0,11,0,4,0,12,0,51,38,4,0,28,0,19,0,0,0,8,0,95,27,4,0,22,0,6,0,0,0,4,0,65,22,0,5,8,0,6,0,5,0,8,0,51,9,0,0,5,0,3,0,0,0,0,0,22,26,0,0,6,0,7,0,0
101031015,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,6,0,42,0,49,0,0,0,3,0,0,0,0,0,22,0,41,5,0,0,0,0,4,0,3,0,21,0,33,10,6,0,7,0,0,3,3,0,12,0,36,0,0,0,4,4,6,0,4,0,4,0,21,5,0,0,12,0,0,0,0,0,4,0,25,21,7,0,9,0,3,0,5,0,14,0,55,24,0,0,15,0,0,0,5,0,0,0,46,16,0,0,6,0,0,0,0,0,5,0,37,10,0,0,3,0,0,0,0,0,0,0,11,20,3,0,14,0,4,0,0
