SA2_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
110021194,716,735,275,66,3228
110031195,569,402,190,65,3687
110031196,467,260,115,20,2603
110031197,492,317,157,51,2977
110031198,415,247,94,30,1995
110041199,629,457,285,126,4269
110041200,357,239,85,41,1942
110041201,607,519,245,60,3355
110041202,1522,1183,632,161,9691
110041203,1106,902,662,322,8278
110041204,265,186,101,19,2182
110041205,1693,1336,529,133,9012
111011206,1558,1237,700,305,9072
111011207,571,477,210,59,2773
111011208,1967,1403,756,260,13337
111011209,1849,1394,705,215,12479
111011210,666,469,314,130,4175
111011211,370,305,198,134,2082
111011212,1269,1133,528,184,6450
111011213,1310,1136,561,135,6949
111011214,1397,1133,575,165,7859
111021215,825,632,464,218,5046
111021216,878,811,425,104,4958
111021217,908,601,303,145,7743
111021218,1444,1373,1003,502,9127
111021219,1346,1352,677,239,7277
111021220,1046,1046,397,85,5162
111021221,508,432,146,20,3425
111031222,1249,841,525,174,8997
111031223,519,396,217,42,3402
111031224,1184,894,372,169,7416
111031225,1591,1049,505,199,9522
111031226,939,598,201,40,7746
111031227,1114,756,332,174,8332
111031228,1495,1019,431,182,8735
111031229,1390,1020,450,89,8711
111031230,0,3,0,0,18
111031231,529,393,287,211,6166
111031232,814,904,395,132,4638
111031233,1460,1184,681,364,10545
111031234,836,573,377,372,7035
111031235,782,497,155,37,5650
112011236,1678,1893,1074,542,9814
112011237,1934,1602,751,235,9876
112011238,815,586,174,77,4178
112011239,1002,786,272,62,5388
112011240,1017,875,290,86,6871
112011241,572,502,178,65,2840
112011242,1017,797,246,60,5407
112011243,1041,933,250,61,5265
112021244,733,702,440,182,5001
112021245,857,592,215,52,3527
112021246,1042,886,454,187,6600
112021247,906,735,245,98,3746
112021248,1443,1047,410,163,7856
112021249,2075,1556,440,90,8958
112031250,1556,1241,516,194,7918
112031251,846,693,381,246,4715
112031252,1395,1033,312,69,5746
112031253,1380,980,462,192,7368
112031254,1843,1775,1016,489,11018
112031550,1283,1137,843,419,7925
112031551,321,247,90,28,1719
112031552,628,648,477,236,3896
113011256,1177,746,388,225,8747
113011257,939,570,216,58,5532
113011258,679,453,238,92,4212
113011259,440,338,172,70,2444
113021260,312,248,137,38,1687
113021261,483,344,236,94,2871
113021262,507,354,147,36,2231
113031263,645,669,364,102,3487
113031264,290,225,109,30,1581
113031265,504,365,148,42,3267
113031266,507,471,213,83,2822
113031267,1353,1066,506,158,8258
113031268,292,167,163,103,2778
113031269,1611,1084,463,209,10315
113031270,852,654,351,177,5910
113031271,1346,972,332,107,8570
114011272,1202,1248,649,221,5619
114011273,491,408,180,44,1999
114011274,578,495,316,68,2659
114011275,14,12,3,0,41
114011276,628,631,222,68,2897
114011277,1470,1265,628,183,8277
114011278,1477,1121,607,257,10845
114011279,1261,1365,727,199,7321
114011280,533,572,325,123,2437
114011281,462,330,115,20,2062
114011282,1750,1750,868,292,8800
114011283,838,809,275,49,3330
114021284,1392,1730,1333,567,8130
114021285,531,331,134,19,3062
114021286,962,916,543,178,5977
114021287,976,908,540,171,5707
114021288,518,456,199,28,2299
