SA2_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
212021454,5776,5754,11525,81,59,138,4,5,11,456,426,878,11,3,13,9,3,6,4,5,12,0,0,0,0,0,0,4,0,6,0,0,0,475,443,919,31,34,69,10,4,13,603,544,1146,304,254,554,6680,6543,13228
212021455,5859,5891,11753,54,57,111,3,0,0,436,409,842,6,4,6,4,0,4,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,442,417,862,28,24,51,6,6,14,534,509,1038,284,287,568,6675,6682,13356
212021456,5928,5964,11895,85,100,190,16,22,30,681,673,1357,11,11,24,3,10,11,4,0,4,0,6,6,3,0,0,3,0,0,0,0,0,722,724,1440,57,85,143,22,8,34,885,917,1804,415,431,846,7231,7312,14547
212021553,7299,7392,14688,154,150,307,13,22,41,920,927,1845,17,24,44,3,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,964,977,1938,43,31,72,9,4,12,1165,1164,2333,273,285,558,8742,8844,17581
212021554,4602,4552,9151,62,63,130,20,17,36,624,666,1287,8,3,12,7,5,15,3,5,4,0,0,5,0,0,0,0,0,0,0,0,0,660,700,1359,30,20,45,4,4,11,752,795,1549,195,192,388,5550,5542,11091
212031300,8358,8255,16616,163,142,305,12,8,25,1146,1076,2219,14,9,26,15,15,33,4,12,18,0,3,6,0,0,0,4,3,6,0,0,0,1198,1135,2335,47,77,124,28,13,44,1441,1373,2812,780,786,1562,10578,10412,20989
212031303,6436,6620,13056,149,136,280,13,17,29,1334,1444,2776,17,17,33,0,0,3,0,6,4,4,4,12,0,0,0,0,0,3,0,0,0,1376,1488,2864,37,42,85,26,31,57,1590,1698,3284,327,323,646,8348,8640,16991
212031304,8457,8668,17124,234,231,464,14,12,20,1216,1280,2497,12,7,17,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1243,1303,2545,61,78,137,30,13,50,1572,1622,3198,399,396,791,10432,10683,21112
212031306,7509,7491,15004,167,180,354,11,9,21,806,803,1608,4,9,13,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,830,1656,53,84,138,16,8,27,1066,1106,2171,300,286,591,8879,8887,17769
212031308,3475,3280,6757,56,46,102,0,4,4,307,307,613,0,8,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,324,634,0,12,11,3,9,11,376,378,757,233,183,419,4088,3845,7933
212031457,5849,5874,11718,39,34,72,13,12,20,447,392,843,4,6,6,4,5,12,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,472,416,887,32,30,61,6,4,8,545,489,1033,148,143,292,6543,6502,13040
