SA2_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
503021295,1088,2619,694,795,843,393,245,456,97,7238
503021296,986,2736,742,796,837,395,227,429,111,7256
503021297,1020,2790,754,813,760,391,255,511,115,7412
504011044,978,2114,1188,914,1080,613,467,629,115,8098
504011045,1840,3987,1615,1452,1710,858,615,891,164,13126
504011046,984,2590,833,937,939,495,421,541,134,7871
504011047,1078,2228,1816,1407,1510,951,852,1206,228,11266
504011048,442,848,583,413,600,360,246,329,46,3869
504021049,179,222,297,172,180,109,134,119,42,1457
504021050,572,1138,484,404,426,247,153,199,52,3673
504021051,353,576,489,295,421,266,243,210,48,2907
504021052,0,0,0,0,0,4,0,0,0,3
504021053,825,1321,1217,764,820,484,523,509,112,6574
504021054,589,896,1089,739,790,507,563,623,132,5924
504031055,3,0,0,0,0,0,0,0,0,9
504031056,811,1251,1616,1187,1223,892,905,1104,177,9157
504031057,931,1375,1836,1471,1283,951,1133,1219,191,10402
504031058,315,351,604,301,367,188,371,320,65,2878
504031060,270,226,284,152,215,109,101,113,29,1490
504031061,372,666,475,306,458,187,222,203,49,2936
504031062,586,1118,1015,783,856,469,544,682,107,6156
504031063,3,0,6,0,0,0,6,0,0,13
504031064,0,0,0,0,0,0,0,0,0,0
504031065,270,367,495,350,352,201,296,299,65,2695
504031066,505,972,739,704,587,427,509,617,103,5167
504031067,360,522,614,440,544,378,368,348,60,3637
504031068,914,1036,1048,802,859,558,547,500,123,6388
504031069,0,0,0,0,0,0,0,0,0,0
504031298,883,1290,1390,1240,1200,752,797,762,125,8432
504031299,539,910,1074,914,805,496,710,555,113,6115
504031300,812,1100,1473,1263,1309,921,979,979,165,8993
505011070,535,1177,1111,648,777,409,341,521,101,5630
505011071,895,1599,1345,969,1159,680,389,609,109,7744
505011072,1244,2522,965,771,1027,590,248,413,93,7877
505011073,803,1770,1113,751,997,516,341,520,103,6908
505011074,624,1131,1052,716,727,441,320,488,98,5592
505011075,1090,1673,695,586,829,459,163,289,55,5844
505011076,992,1392,717,603,806,507,174,284,86,5567
505011077,784,1648,1138,934,1028,601,390,598,133,7254
505011078,801,1686,955,732,1025,560,299,405,72,6538
505011079,902,1664,890,683,752,484,223,354,74,6032
505011080,651,1027,645,493,580,375,167,306,67,4308
505011081,532,1097,853,570,548,307,202,309,69,4481
505011082,924,1565,540,551,663,433,120,224,72,5096
505011083,711,1310,722,610,806,454,211,342,43,5224
505021084,894,1922,1260,891,1131,700,457,666,120,8042
505021085,504,1044,1356,1583,841,729,1084,1570,233,8937
505021087,0,0,0,0,0,0,0,0,0,0
505021088,1443,3484,1239,1064,1247,726,367,572,141,10285
505021089,1911,3760,1112,966,1386,914,282,558,164,11051
505021090,846,1949,1548,1520,1265,801,825,1143,193,10088
